Time,Finger_Flexor,Force
0:00:00,-13.89145756,3.189083338
00:00.0,-7.067303181,3.189083338
00:00.0,-1.964766741,3.189083338
00:00.0,1.676341772,3.189083338
00:00.0,4.101068497,3.189083338
00:00.0,5.52762413,3.189083338
00:00.0,6.158717155,3.189083338
00:00.0,6.170171261,3.189083338
00:00.0,5.731556416,3.189083338
00:00.0,4.986330032,3.189083338
00:00.0,4.04943943,3.189083338
00:00.0,3.01606226,3.189083338
00:00.0,1.945222139,3.189083338
00:00.0,0.888050795,3.189083338
00:00.0,-0.0904506,3.189083338
00:00.0,-0.962864578,3.189083338
00:00.0,-1.687406421,3.403217554
00:00.0,-2.258645058,3.403217554
00:00.0,-2.668393135,3.403217554
00:00.0,-2.931522369,3.403217554
00:00.0,-3.050447226,3.189083338
00:00.0,-3.039373159,3.189083338
00:00.0,-2.920115709,3.189083338
00:00.0,-2.700814962,3.189083338
00:00.0,-2.399922371,3.189083338
00:00.0,-2.050828934,3.189083338
00:00.0,-1.662745476,3.189083338
00:00.0,-1.274897337,3.189083338
00:00.0,-0.88807708,3.189083338
00:00.0,-0.524625659,3.189083338
00:00.0,-0.182348281,3.189083338
00:00.0,0.119895644,3.189083338
00:00.0,0.379106879,3.189083338
00:00.0,0.598057151,3.189083338
00:00.0,0.783091605,3.189083338
00:00.0,0.937951207,3.189083338
00:00.0,1.037859797,3.189083338
00:00.0,1.092618704,3.189083338
00:00.0,1.11490798,3.189083338
00:00.0,1.08713305,3.189083338
00:00.0,1.033572555,3.189083338
00:00.0,0.948641837,3.189083338
00:00.0,0.840803802,3.189083338
00:00.0,0.717803955,3.189083338
00:00.0,0.586577594,3.189083338
00:00.0,0.457655728,3.189083338
00:00.0,0.329514116,3.189083338
00:00.0,0.220347971,3.189083338
00:00.0,0.127342418,3.403217554
00:00.0,0.030520501,3.403217554
00:00.1,-0.040526997,3.403217554
00:00.1,-0.109315962,3.403217554
00:00.1,-0.171530932,3.189083338
00:00.1,-0.219683439,3.189083338
00:00.1,-0.25855881,3.189083338
00:00.1,-0.277735233,3.189083338
00:00.1,-0.281021357,3.189083338
00:00.1,-0.276304513,3.189083338
00:00.1,-0.264425516,3.189083338
00:00.1,-0.25089398,3.189083338
00:00.1,-0.234672397,2.974949121
00:00.1,-0.215340003,2.974949121
00:00.1,-0.192949116,2.974949121
00:00.1,-0.167897671,2.974949121
00:00.1,-0.136347324,3.189083338
00:00.1,-0.101271443,3.189083338
00:00.1,-0.0606758,3.189083338
00:00.1,-0.018763855,3.189083338
00:00.1,0.016792217,3.189083338
00:00.1,0.054814883,3.189083338
00:00.1,0.099929795,3.189083338
00:00.1,0.126826927,3.189083338
00:00.1,0.139087349,3.189083338
00:00.1,0.13990365,3.189083338
00:00.1,0.132092863,3.189083338
00:00.1,0.113639407,3.189083338
00:00.1,0.079911083,3.189083338
00:00.1,0.056616548,3.189083338
00:00.1,0.03641025,3.189083338
00:00.1,0.014755042,3.189083338
00:00.1,0.007156238,3.189083338
00:00.1,0.004036061,3.189083338
00:00.1,-0.009757568,3.189083338
00:00.1,-0.01998472,3.189083338
00:00.1,-0.027059862,3.189083338
