Time,Bicep,Wrist
0:00:00,-5.324984074,-42.64011002
00:00.0,-2.699482441,-21.64758873
00:00.0,-0.740370095,-5.975796223
00:00.0,0.655847013,5.195624828
00:00.0,1.583901525,12.62414837
00:00.0,2.125344753,17.00644112
00:00.0,2.364247084,18.96127129
00:00.0,2.368959188,19.02052116
00:00.0,2.204088926,17.66672897
00:00.0,1.910663843,15.32883358
00:00.0,1.540428638,12.37534142
00:00.0,1.130537748,9.093564034
00:00.0,0.715791404,5.738926411
00:00.0,0.309048712,2.502119303
00:00.0,-0.05976966,-0.476456165
00:00.0,-0.388873667,-3.090981722
00:00.0,-0.658218622,-5.268214703
00:00.0,-0.870190978,-6.978153706
00:00.0,-1.023298502,-8.210726738
00:00.0,-1.118885279,-8.978274345
00:00.0,-1.160547972,-9.310912132
00:00.0,-1.158058763,-9.256629944
00:00.0,-1.106773973,-8.852716446
00:00.0,-1.025634646,-8.180668831
00:00.0,-0.915462077,-7.292172432
00:00.0,-0.788778722,-6.237660885
00:00.0,-0.651061594,-5.087846279
00:00.0,-0.498806775,-3.89060235
00:00.0,-0.34156096,-2.686345577
00:00.0,-0.19621034,-1.526520371
00:00.0,-0.060257848,-0.460845202
00:00.0,0.066977173,0.497875303
00:00.0,0.176048368,1.343040943
00:00.0,0.26570341,2.037267923
00:00.0,0.335492134,2.578123808
00:00.0,0.381207705,2.954857349
00:00.0,0.414870441,3.199028969
00:00.0,0.430633336,3.313025713
00:00.0,0.430358201,3.340886593
00:00.0,0.41618225,3.264288187
00:00.0,0.390412897,3.070114613
00:00.0,0.35990122,2.827303171
00:00.0,0.32034114,2.515489101
00:00.0,0.27009505,2.152211428
00:00.0,0.218429208,1.746315956
00:00.0,0.167099491,1.346213579
00:00.0,0.126580209,0.975780964
00:00.0,0.084812857,0.628368318
00:00.0,0.043938283,0.30168733
00:00.0,-0.003278627,0.014260787
00:00.1,-0.042199332,-0.235842764
00:00.1,-0.073026232,-0.445215046
00:00.1,-0.0961354,-0.61227417
00:00.1,-0.112051241,-0.737068832
00:00.1,-0.125889227,-0.821055293
00:00.1,-0.127241522,-0.866858184
00:00.1,-0.119662158,-0.882495761
00:00.1,-0.11503505,-0.865523756
00:00.1,-0.102413453,-0.816703796
00:00.1,-0.089297511,-0.757027388
00:00.1,-0.080389,-0.677929461
00:00.1,-0.064805001,-0.585185885
00:00.1,-0.054513749,-0.493081778
00:00.1,-0.047486719,-0.388613403
00:00.1,-0.033295583,-0.283774525
00:00.1,-0.015301164,-0.186979309
00:00.1,-0.000579728,-0.081346504
00:00.1,0.006651719,0.036902569
00:00.1,0.008856621,0.127163231
00:00.1,0.016891092,0.170323387
00:00.1,0.023331868,0.211833909
00:00.1,0.028153846,0.234137952
00:00.1,0.031395875,0.23664777
00:00.1,0.037620403,0.229438916
00:00.1,0.040288396,0.22386165
00:00.1,0.035649557,0.204193369
00:00.1,0.031029971,0.184491336
00:00.1,0.02198687,0.168937936
00:00.1,0.019708119,0.155277088
00:00.1,0.017019035,0.137511849
00:00.1,0.014064171,0.116907082
00:00.1,0.015450224,0.094634652
00:00.1,0.01462841,0.067277923
00:00.1,0.007792778,0.051370244
00:00.1,0.002176349,0.033784609
00:00.1,-0.002314625,0.015789177
00:00.1,-0.0057777,-0.001590794
00:00.1,-0.008313782,-0.017560059
00:00.1,-0.010026175,-0.03600768
00:00.1,-0.011019297,-0.049873527
00:00.1,-0.006926146,-0.063969485
00:00.1,-0.004520464,-0.067555584
00:00.1,-0.007814026,-0.072780326
00:00.1,-0.009757216,-0.07336244
00:00.1,-0.010602522,-0.065799288
00:00.1,-0.015051372,-0.05317907
00:00.1,-0.01216859,-0.051358555
00:00.1,-0.009367839,-0.046675149
00:00.1,-0.006723594,-0.035526395
00:00.1,-0.004294539,-0.025337229
00:00.1,-0.00659518,-0.011718564
00:00.1,-0.006983,-0.001400407
00:00.1,-0.001560725,0.006142278
00:00.1,0.00252437,0.006903239
00:00.1,0.005443783,0.007965175
00:00.1,0.002892092,0.013604004
00:00.1,0.00169916,0.008053374
00:00.1,0.005927565,0.0051008
00:00.1,0.008573341,0.004023595
00:00.1,0.0099297,-0.000247532
00:00.1,0.0147341,-0.005997521
00:00.1,0.016553979,-0.003026105
00:00.1,0.016158717,0.005141504
00:00.1,0.014204014,0.020252181
00:00.1,0.011239754,0.033599205
00:00.1,0.007718181,0.048761379
00:00.1,-0.000468672,0.054106425
00:00.1,-0.00636659,0.02092818
00:00.1,-0.005851544,-0.001874746
00:00.1,-0.010389925,-0.002961303
00:00.1,-0.008580318,-0.008619365
00:00.1,-0.011925099,-0.012055834
00:00.1,-0.01352061,-0.018206922
00:00.1,-0.009273606,-0.007392895
00:00.1,-0.010662882,-0.009477861
00:00.1,-0.006282781,-0.014685255
00:00.1,-0.003145795,-0.016687086
00:00.1,-0.000988708,-0.020804798
00:00.1,0.000409724,-0.012141563
00:00.1,0.001233757,-0.000722068
00:00.1,0.0016352,0.006942655
00:00.1,0.001737556,0.007106361
00:00.1,0.00163979,0.01155293
00:00.1,0.001419738,0.013614366
00:00.1,0.005608218,0.022804869
00:00.1,0.003107042,0.02180356
00:00.1,-0.003293614,0.018817147
00:00.1,-0.00251614,0.014581108
00:00.1,-0.001856271,0.005224278
00:00.1,-0.001293421,-0.002104744
00:00.1,-0.005283322,-0.012067999
00:00.1,-0.007143002,-0.018195903
00:00.1,-0.002950828,-0.030196179
00:00.1,-0.004314596,-0.048818618
00:00.1,-0.00439224,-0.019992638
00:00.1,0.000884534,0.008716811
00:00.1,-0.00442922,0.012374911
00:00.1,-0.006698872,0.000282367
00:00.1,-0.00677709,-0.011384843
00:00.1,-0.00537162,-0.008156846
